id_wycieczki,tytul_wycieczki,calosciowy_opis_wycieczki,calosciowa_taktyka_dnia,godzina_pobudki,szacowany_czas_ogarniania_rano,krok_wycieczki,numer_miejsca,nazwa,wspolrzedne,okienko_zwiedzania,godzina_ewakuacji,czerwona_strefa_ostrzezenie,strefa_luzu_i_regeneracji,podsumowanie_taktyki,rodzaj_posilku,godzina_posilku,nazwa_posilku
2,"Wodospady, Starożytne Lappa & Słodkowadne Jezioro Kournas","Spokojna, orzeźwiająca wyprawa łącząca rzymską wioskę Lappa z obiadem przy wodospadach Argyroupoli oraz zabawą na rowerach wodnych.","Zaczynamy od łagodnego spaceru w cieniu rzymskiej wioski, potem jemy obiad przy kojącym szumie wodospadów pod wielkimi platanami, a popołudniu pedałujemy na rowerku wodnym i szukamy żółwi w jeziorze.",08:00,0.5h,3,3,Lake Kournas (Rowerki wodne),"35.33230, 24.27768",14:00 - 15:15,15:15 (powrót do bazy),Słońce na wodzie - nakrycia głowy obowiązkowe.,Chłodna woda jeziora i relaksujące pedałowanie.,Radosna zabawa na rowerku ze zjeżdżalnią.,,,
2,"Wodospady, Starożytne Lappa & Słodkowadne Jezioro Kournas","Spokojna, orzeźwiająca wyprawa łącząca rzymską wioskę Lappa z obiadem przy wodospadach Argyroupoli oraz zabawą na rowerach wodnych.","Zaczynamy od łagodnego spaceru w cieniu rzymskiej wioski, potem jemy obiad przy kojącym szumie wodospadów pod wielkimi platanami, a popołudniu pedałujemy na rowerku wodnym i szukamy żółwi w jeziorze.",08:00,0.5h,4,46,Powrót do domku,"35.59125, 24.09555",16:20 - 18:50,-,Brak,Stawros - bezpieczna strefa komfortu.,Spokojny wieczór i ciepła kolacja w domku.,kolacja,16:50,Kolacja
3,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:30 - 09:00,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:30,Śniadanie
3,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,1,5,Botanical Garden of Crete,"35.41829, 23.93922",09:45 - 11:45,11:45 (upał na dolnych ścieżkach),Podejścia pod górę - robić krótkie przystanki.,Zacieniona altana przy stawie z łabędziami.,Spacer pośród zapachów śródziemnomorskich roślin.,lunchbox_maly,09:45 - 11:45,Mały lunchbox
3,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,2,9,Arevitis Farm (Wizytacja),"35.40530, 23.92120",11:55 - 14:10,14:10 (powrót na sjestę),Brak.,"Cichy, wiejski ogród agroturystyczny.",Ekologiczny obiad i wyciszający kontakt ze zwierzętami.,lunchbox_maly,11:55 - 14:10,Mały lunchbox
3,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,3,46,Powrót do domku,"35.59125, 24.09555",15:05 - 18:20,-,Brak,Zatoka Stavros.,Popołudniowe wyciszenie i bezpieczny odpoczynek.,kolacja,15:35,Kolacja
4,Echo Starożytnej Aptery & Sensoryczne Mydlarnie w Kalyves,"Krótka, fascynująca wycieczka łącząca eksperymenty akustyczne w cysternach Aptery z warsztatami mydlarskimi w mill.o.petres i obiadkiem przy plaży w Kalyves.","Rano odkrywamy puste ruiny Aptery i krzyczymy w rzymskiej cysternie, by usłyszeć potężne echo, a potem bawimy się zapachami lawendy na warsztatach mydlarskich i odpoczywamy przy plaży.",08:05,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:05 - 08:35,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:05,Śniadanie
4,Echo Starożytnej Aptery & Sensoryczne Mydlarnie w Kalyves,"Krótka, fascynująca wycieczka łącząca eksperymenty akustyczne w cysternach Aptery z warsztatami mydlarskimi w mill.o.petres i obiadkiem przy plaży w Kalyves.","Rano odkrywamy puste ruiny Aptery i krzyczymy w rzymskiej cysternie, by usłyszeć potężne echo, a potem bawimy się zapachami lawendy na warsztatach mydlarskich i odpoczywamy przy plaży.",08:05,0.5h,1,7,Ancient Aptera,"35.46271, 24.14175",09:10 - 10:40,10:40 (brak cienia na płaskowyżu),Słońce na płaskowyżu po 10:30.,Gigantyczny chłód wewnątrz rzymskiej cysterny.,Eksperymenty z echem potężnie angażują uwagę dzieci.,lunchbox_maly,09:10 - 10:40,Mały lunchbox
4,Echo Starożytnej Aptery & Sensoryczne Mydlarnie w Kalyves,"Krótka, fascynująca wycieczka łącząca eksperymenty akustyczne w cysternach Aptery z warsztatami mydlarskimi w mill.o.petres i obiadkiem przy plaży w Kalyves.","Rano odkrywamy puste ruiny Aptery i krzyczymy w rzymskiej cysternie, by usłyszeć potężne echo, a potem bawimy się zapachami lawendy na warsztatach mydlarskich i odpoczywamy przy plaży.",08:05,0.5h,2,29,mill.o.petres (Warsztaty Mydlarskie),"35.44192, 24.14815",11:00 - 14:00,14:00 (powrót na sjestę),Brak,Zacieniona pracownia oraz nadmorska tawerna w Kalyves.,Frajda z robienia mydełek i obiad nad brzegiem morza.,lunchbox_maly,11:00 - 14:00,Mały lunchbox
4,Echo Starożytnej Aptery & Sensoryczne Mydlarnie w Kalyves,"Krótka, fascynująca wycieczka łącząca eksperymenty akustyczne w cysternach Aptery z warsztatami mydlarskimi w mill.o.petres i obiadkiem przy plaży w Kalyves.","Rano odkrywamy puste ruiny Aptery i krzyczymy w rzymskiej cysternie, by usłyszeć potężne echo, a potem bawimy się zapachami lawendy na warsztatach mydlarskich i odpoczywamy przy plaży.",08:05,0.5h,3,44,Powrót do domku,"35.55395, 24.08695",14:40 - 18:05,-,Brak,Plaża Kalathas z łagodnym brzegiem.,Popołudniowe wyciszenie na plaży i kolacja w domku.,kolacja,15:10,Kolacja
5,Głęboki Chłód Wąwozu Meskla & Tradycyjna Tawerna Ntounias,Leśno-górski spacer kładką w cieniu wąwozu Sarakina Meskla połączony z ucztowaniem slow-food w kultowym Ntounias.,"Przechodzimy bajkowo zielonym i bardzo chłodnym wąwozem dającym schronienie przed upałem, a na obiad wjeżdżamy wolno pod górę do kultowej tawerny Ntounias na gliniane garnki z pieca bez pośpiechu.",08:25,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:25 - 08:55,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:25,Śniadanie
5,Głęboki Chłód Wąwozu Meskla & Tradycyjna Tawerna Ntounias,Leśno-górski spacer kładką w cieniu wąwozu Sarakina Meskla połączony z ucztowaniem slow-food w kultowym Ntounias.,"Przechodzimy bajkowo zielonym i bardzo chłodnym wąwozem dającym schronienie przed upałem, a na obiad wjeżdżamy wolno pod górę do kultowej tawerny Ntounias na gliniane garnki z pieca bez pośpiechu.",08:25,0.5h,1,13,Sarakina Meskla Gorge,"35.40325, 23.95758",09:40 - 11:30,11:30 (czas na przejazd na obiad),Uważać na wilgotne kamienie.,"Zacienione, chłodne wnętrze wąwozu Sarakina.",Baśniowy spacer (30-45 min) z wysokim poczuciem przygody.,lunchbox_maly,09:40 - 11:30,Mały lunchbox
5,Głęboki Chłód Wąwozu Meskla & Tradycyjna Tawerna Ntounias,Leśno-górski spacer kładką w cieniu wąwozu Sarakina Meskla połączony z ucztowaniem slow-food w kultowym Ntounias.,"Przechodzimy bajkowo zielonym i bardzo chłodnym wąwozem dającym schronienie przed upałem, a na obiad wjeżdżamy wolno pod górę do kultowej tawerny Ntounias na gliniane garnki z pieca bez pośpiechu.",08:25,0.5h,2,12,Ntounias w Drakonie,"35.40348, 23.95383",11:40 - 13:55,13:55 (powrót na sjestę),Powolna obsługa (slow-food) - pełny luz i brak pośpiechu.,Wiejski taras z pięknym widokiem na góry.,Autentyczny kreteński obiad z glinianych kociołków.,lunchbox_maly,11:40 - 13:55,Mały lunchbox
5,Głęboki Chłód Wąwozu Meskla & Tradycyjna Tawerna Ntounias,Leśno-górski spacer kładką w cieniu wąwozu Sarakina Meskla połączony z ucztowaniem slow-food w kultowym Ntounias.,"Przechodzimy bajkowo zielonym i bardzo chłodnym wąwozem dającym schronienie przed upałem, a na obiad wjeżdżamy wolno pod górę do kultowej tawerny Ntounias na gliniane garnki z pieca bez pośpiechu.",08:25,0.5h,3,46,Powrót do domku,"35.59125, 24.09555",14:40 - 18:10,-,Brak,Stavros Beach.,"Powrót do bazy, odpoczynek i domowa kolacja.",kolacja,15:10,Kolacja
6,"Przejażdżka Ciuchcią, Sosnowy Park & Plaża w Agioi Apostoloi",Radosny dzień z przejażdżką ciuchcią turystyczną z wiatrem we włosach oraz relaksem i obiadkiem w cieniu pachnącego lasu piniowego.,"Wsiadamy rano do zadaszonej ciuchci turystycznej dla wesołej jazdy bez chodzenia, a potem chłodzimy się w pachnącym parku sosnowym i pluskamy w bardzo bezpiecznej, bezfalowej zatoczce.",08:15,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:15 - 08:45,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:15,Śniadanie
6,"Przejażdżka Ciuchcią, Sosnowy Park & Plaża w Agioi Apostoloi",Radosny dzień z przejażdżką ciuchcią turystyczną z wiatrem we włosach oraz relaksem i obiadkiem w cieniu pachnącego lasu piniowego.,"Wsiadamy rano do zadaszonej ciuchci turystycznej dla wesołej jazdy bez chodzenia, a potem chłodzimy się w pachnącym parku sosnowym i pluskamy w bardzo bezpiecznej, bezfalowej zatoczce.",08:15,0.5h,1,27,The Little Fun Train - Agioi Apostoloi,"35.51178, 23.98189",09:15 - 11:00,11:00 (koniec trasy ciuchci),Brak.,Zadaszona ciuchcia daje radosny powiew wiatru.,Bezstresowa atrakcja ruchowa bez wysiłku pieszego.,lunchbox_maly,09:15 - 11:00,Mały lunchbox
6,"Przejażdżka Ciuchcią, Sosnowy Park & Plaża w Agioi Apostoloi",Radosny dzień z przejażdżką ciuchcią turystyczną z wiatrem we włosach oraz relaksem i obiadkiem w cieniu pachnącego lasu piniowego.,"Wsiadamy rano do zadaszonej ciuchci turystycznej dla wesołej jazdy bez chodzenia, a potem chłodzimy się w pachnącym parku sosnowym i pluskamy w bardzo bezpiecznej, bezfalowej zatoczce.",08:15,0.5h,2,48,Mniejsza z plaż Agioi Apostoloi & Park Piniowy,"35.51345, 23.97880",11:10 - 14:05,14:05 (powrót na sjestę),Brak,Głęboki cień piniowych drzew bezpośrednio przy piaszczystej zatoczce.,Cień sosen i łagodna plaża + obiad nad morzem.,lunchbox_maly,11:10 - 14:05,Mały lunchbox
6,"Przejażdżka Ciuchcią, Sosnowy Park & Plaża w Agioi Apostoloi",Radosny dzień z przejażdżką ciuchcią turystyczną z wiatrem we włosach oraz relaksem i obiadkiem w cieniu pachnącego lasu piniowego.,"Wsiadamy rano do zadaszonej ciuchci turystycznej dla wesołej jazdy bez chodzenia, a potem chłodzimy się w pachnącym parku sosnowym i pluskamy w bardzo bezpiecznej, bezfalowej zatoczce.",08:15,0.5h,3,46,Powrót do domku,"35.59125, 24.09555",14:35 - 18:05,-,Brak,Baza w Stavros.,Popołudniowe leniuchowanie i kolacja w domku.,kolacja,15:05,Kolacja
7,"Poranna Chania, Rejs Półpodwodny & Winnica Manousakis","Morski akcent pożegnalny: ranny spacer po wzgórzu Kastelli w Chanii, rejs łodzią podwodną, obiad w portowej tawernie i pożegnalny wieczór w ogrodzie winnicy.","Spacerujemy rano pustym portem w Chanii, potem płyniemy łodzią ze szklanym dnem oglądać ryby, a popołudniu relaksujemy się w ogrodzie pod drzewami pomarańczowymi w pięknej winnicy.",08:05,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:05 - 08:35,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:05,Śniadanie
7,"Poranna Chania, Rejs Półpodwodny & Winnica Manousakis","Morski akcent pożegnalny: ranny spacer po wzgórzu Kastelli w Chanii, rejs łodzią podwodną, obiad w portowej tawernie i pożegnalny wieczór w ogrodzie winnicy.","Spacerujemy rano pustym portem w Chanii, potem płyniemy łodzią ze szklanym dnem oglądać ryby, a popołudniu relaksujemy się w ogrodzie pod drzewami pomarańczowymi w pięknej winnicy.",08:05,0.5h,1,10,Kastelli archaeological site & Stary Port Chania,"35.51731, 24.01948",09:00 - 10:15,10:15 (przejście do portu),Uliczki po 11:00 się nagrzewają - zwiedzać rano.,Punkt widokowy na wzgórzu z morską bryzą.,Rześki spacer po sercu Chanii przed słońcem.,lunchbox_maly,09:00 - 10:15,Mały lunchbox
7,"Poranna Chania, Rejs Półpodwodny & Winnica Manousakis","Morski akcent pożegnalny: ranny spacer po wzgórzu Kastelli w Chanii, rejs łodzią podwodną, obiad w portowej tawernie i pożegnalny wieczór w ogrodzie winnicy.","Spacerujemy rano pustym portem w Chanii, potem płyniemy łodzią ze szklanym dnem oglądać ryby, a popołudniu relaksujemy się w ogrodzie pod drzewami pomarańczowymi w pięknej winnicy.",08:05,0.5h,2,28,Rejs łodzią półpodwodną,"35.51862, 24.01633",10:25 - 13:25,13:25 (powrót na sjestę),W razie niepokoju pod wodą wyjść na pokład górny.,Klimatyzowany podwodny kadłub z fascynującym widokiem.,Wesoła przygoda podwodna (35 min) i obiad w Starym Portie.,lunchbox_maly,10:25 - 13:25,Mały lunchbox
7,"Poranna Chania, Rejs Półpodwodny & Winnica Manousakis","Morski akcent pożegnalny: ranny spacer po wzgórzu Kastelli w Chanii, rejs łodzią podwodną, obiad w portowej tawernie i pożegnalny wieczór w ogrodzie winnicy.","Spacerujemy rano pustym portem w Chanii, potem płyniemy łodzią ze szklanym dnem oglądać ryby, a popołudniu relaksujemy się w ogrodzie pod drzewami pomarańczowymi w pięknej winnicy.",08:05,0.5h,3,43,Manousakis Winery,"35.46075, 23.94058",13:55 - 15:55,15:55 (powrót na pakowanie),Brak,Ogród pod pomarańczami ze swobodną przestrzenią na trawie.,Pożegnalny wieczór w scenerii gajów cytrusowych.,lunchbox_maly,13:55 - 15:55,Lunchbox mały
7,"Poranna Chania, Rejs Półpodwodny & Winnica Manousakis","Morski akcent pożegnalny: ranny spacer po wzgórzu Kastelli w Chanii, rejs łodzią podwodną, obiad w portowej tawernie i pożegnalny wieczór w ogrodzie winnicy.","Spacerujemy rano pustym portem w Chanii, potem płyniemy łodzią ze szklanym dnem oglądać ryby, a popołudniu relaksujemy się w ogrodzie pod drzewami pomarańczowymi w pięknej winnicy.",08:05,0.5h,4,46,Powrót do domku,"35.59125, 24.09555",16:40 - 18:25,-,Brak,Baza Stavros.,Kolacja i ostatnia noc w Stavros przed jutrzejszym wylotem.,kolacja,17:10,Kolacja
8,Południowa Przygoda: Tropikalna Plaża Preveli & Las Palmowy,"Egzotyczna wyprawa na południowe wybrzeże Krety, łącząca rejs łodzią motorową, spacer dnem rzeki w zielonym gaju palmowym Preveli oraz obiad przy plaży Damnoni i postój w cienistym Spili.","Całkowicie omijamy mordercze schody klifowe i podpływamy na plażę łódką motorową z Damnoni, a potem spacerujemy w głębokim cieniu tropikalnych palm nad słodką rzeką.",08:15,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:15 - 08:45,-,Długa trasa autem (1 godz. 50 min) - przygotować gry słowne i audiobooki,Klimatyzowany samochód – spokojna jazda bez pośpiechu przez spektakularny Wąwóz Kourtaliotiko,"Śniadanie w domku, spakowanie auta i wyjazd o 08:30",śniadanie,08:15,Śniadanie
8,Południowa Przygoda: Tropikalna Plaża Preveli & Las Palmowy,"Egzotyczna wyprawa na południowe wybrzeże Krety, łącząca rejs łodzią motorową, spacer dnem rzeki w zielonym gaju palmowym Preveli oraz obiad przy plaży Damnoni i postój w cienistym Spili.","Całkowicie omijamy mordercze schody klifowe i podpływamy na plażę łódką motorową z Damnoni, a potem spacerujemy w głębokim cieniu tropikalnych palm nad słodką rzeką.",08:15,0.5h,1,49,Plaża Preveli,"35.15250, 24.47361",10:45 - 12:45,12:45 (czas na rejs powrotny i obiad),Brak komercyjnych parasoli na plaży (status rezerwatu). Unikać otwartego słońca w południe – schronić się w chłodnym gaju palmowym.,Głęboki naturalny cień gaju palmowego wzdłuż słodkowodnej rzeki rzuca przyjemny chłód i osłonę przed wiatrem.,"Rejs łodzią z Damnoni, piknik pod palmami i powrót łodzią o 13:00",lunchbox_maly,10:45 - 12:45,Mały lunchbox
8,Południowa Przygoda: Tropikalna Plaża Preveli & Las Palmowy,"Egzotyczna wyprawa na południowe wybrzeże Krety, łącząca rejs łodzią motorową, spacer dnem rzeki w zielonym gaju palmowym Preveli oraz obiad przy plaży Damnoni i postój w cienistym Spili.","Całkowicie omijamy mordercze schody klifowe i podpływamy na plażę łódką motorową z Damnoni, a potem spacerujemy w głębokim cieniu tropikalnych palm nad słodką rzeką.",08:15,0.5h,2,46,Powrót do domku,"35.59125, 24.09555",14:45 - 17:45,-,Brak,"Tradycyjna, cienista wioska Spili – spacer po bocznych alejkach, chłodna kawiarnia","Obiad w Damnoni o 13:15, krótki postój w Spili o 15:30 i powrót na kolację",kolacja,15:15,Kolacja
9,Mity i Oceaniczne Głębiny - kopia: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",04:40 - 05:10,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,04:40,Śniadanie
