numer,slug,nazwa_pl,nazwa_lacinska,grupa,szansa,rozmiar,gdzie_szukac,opis,ostrzezenie,link_opisu,autor_zdjecia,licencja_zdjecia,zrodlo_zdjecia
11,sphyraena_viridensis,Barrakuda śródziemnomorska,Sphyraena viridensis,Ryby,Rzadkość,do 130 cm,Otwarta woda przy cyplach i urwiskach,"Długa srebrna torpeda ze szczupakowatym pyskiem, często w luźnej ławicy zawieszonej w błękicie. Ciekawska wobec nurków, ale nie zaczepna - obserwuj z dystansu i nie machaj błyszczącymi przedmiotami.",Nie noś w wodzie błyszczącej biżuterii - odbicia światła przyciągają barrakudy.,https://pl.wikipedia.org/wiki/Barrakuda_atlantycka,Xavier Mas,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Sphyraena_viridensis_678403639.jpg
12,epinephelus_marginatus,Granik brunatny,Epinephelus marginatus,Ryby,Rzadkość,do 150 cm,"Szczeliny i groty skalne, 5-50 m","Potężna brązowa ryba z jasnymi marmurkowymi plamami i wielkim pyskiem, pilnująca swojej jamy. Gatunek chroniony i rzadki - spotkanie graniki to nagroda dnia.",,https://pl.wikipedia.org/wiki/Granik_wielki,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Mero_(Epinephelus_marginatus),_Cabo_de_Palos,_Espa%C3%B1a,_2022-07-15,_DD_34.jpg"
13,mugil_cephalus,Cefal,Mugil cephalus,Ryby,Pewniak,do 80 cm,"Przy pomostach, portach i ujściach wody, 0-5 m","Srebrne, cygarowate ryby krążące stadkiem tuż pod powierzchnią, często w portach. Skaczą nad wodę, gdy się je spłoszy.",,https://pl.wikipedia.org/wiki/Cefal,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:M%C3%BAjol_(Mugil_cephalus),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2021-09-09,_DD_25.jpg"
14,scorpaena_porcus,Skorpena czarna,Scorpaena porcus,Ryby,Częsta,do 30 cm,"Nieruchomo na skałach i w szczelinach, 1-30 m","Mistrz kamuflażu: wygląda jak omszały kamień z frędzelkami nad oczami. Nie ucieka, bo liczy na to, że jej nie zauważysz - dlatego łatwo na nią nadepnąć.",Kolce grzbietowe są jadowite. Nie dotykaj i nie stawaj na dnie bez butów - ukłucie bardzo boli.,https://pl.wikipedia.org/wiki/Skorpena_br%C4%85zowa,Dmitriy Konstantinov,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Scorpaena-porcus1.jpg
15,muraena_helena,Murena śródziemnomorska,Muraena helena,Ryby,Częsta,do 150 cm,"Otwory i szczeliny w skałach, 3-50 m","Wąż morski w brązowo-żółtą marmurkową siatkę, wystający głową ze szczeliny. Ciągle otwiera i zamyka paszczę, bo tak oddycha - to nie jest groźba.",Nigdy nie wkładaj rąk do szczelin. Ugryzienie jest głębokie i łatwo się zakaża.,https://pl.wikipedia.org/wiki/Murena_%C5%9Br%C3%B3dziemnomorska,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Morena_del_Mediterr%C3%A1neo_(Muraena_helena),_Regga,_Gozo,_Malta,_2021-08-23,_DD_14.jpg"
16,octopus_vulgaris,Ośmiornica zwyczajna,Octopus vulgaris,Bezkręgowce,Częsta,do 100 cm z ramionami,"Norki pod kamieniami, 1-30 m","Zmienia kolor i fakturę skóry w sekundę, więc najłatwiej znaleźć jej dom: kopczyk muszelek i kamyków przed szczeliną. Gdy ją zobaczysz, zwykle patrzy na ciebie jednym okiem.",,https://pl.wikipedia.org/wiki/O%C5%9Bmiornica_zwyczajna,albert kok,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Octopus2.jpg
17,sepia_officinalis,Mątwa zwyczajna,Sepia officinalis,Bezkręgowce,Rzadkość,do 45 cm,"Nad piaskiem i trawą morską, 1-20 m","Owalna, falująca płetwą po bokach, z dziesięcioma ramionami z przodu. Po ciele przebiegają jej fale pasków jak animacja, a spłoszona strzela chmurą atramentu.",,https://pl.wikipedia.org/wiki/M%C4%85twa_zwyczajna,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Sepia_com%C3%BAn_(Sepia_officinalis),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2020-07-21,_DD_62.jpg"
18,paracentrotus_lividus,Jeżowiec,Paracentrotus lividus,Bezkręgowce,Pewniak,5-7 cm,"Wszędzie na skałach, także w miejscach wchodzenia do wody","Czarno-fioletowa kulka z długimi kolcami, wciśnięta w zagłębienie skały i często przykryta kawałkami glonów oraz muszelek dla kamuflażu.",Najczęstsza kontuzja na Krecie. Wchodź do wody w butach do wody i nie chwytaj się skał pod wodą.,https://en.wikipedia.org/wiki/Paracentrotus_lividus,Frédéric Ducarme,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Paracentrotus_lividus_profil.JPG
19,echinaster_sepositus,Rozgwiazda czerwona,Echinaster sepositus,Bezkręgowce,Częsta,do 20 cm,"Na skałach i wśród trawy morskiej, 1-30 m","Jaskrawo czerwono-pomarańczowa gwiazda o pięciu wałeczkowatych ramionach. Nie ma kolców, porusza się bardzo wolno - można ją obserwować kilka minut i zobaczyć ruch ramion.","Oglądaj pod wodą, nie wyjmuj na powietrze - to dla niej groźne.",https://en.wikipedia.org/wiki/Echinaster_sepositus,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Estrella_roja_del_Mediterr%C3%A1neo_(Echinaster_sepositus),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2020-07-31,_DD_79.jpg"
20,holothuria_tubulosa,Strzykwa,Holothuria tubulosa,Bezkręgowce,Pewniak,do 30 cm,"Na piasku i trawie morskiej, 1-30 m","Brązowa, poskręcana rura z brodawkami, leżąca na dnie jak zapomniany ogórek. Zjada piasek, przepuszcza go przez siebie i zostawia za sobą czyste wałeczki.",,https://en.wikipedia.org/wiki/Holothuria_tubulosa,Renaud Coupa,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Holothuria_tubulosa_Banyuls.jpg
21,caretta_caretta,Żółw karetta,Caretta caretta,Żółwie,Rzadkość,panc. do 100 cm,"Zatoki z trawą morską, także w portach","Duży żółw morski z masywną głową, co kilka minut wypływający na łyk powietrza. Na Krecie gniazduje na plażach w zatoce Chanii i Rethymno - to gatunek ściśle chroniony.","Nie dotykaj, nie karm i nie blokuj drogi na powierzchnię. Trzymaj co najmniej kilka metrów dystansu.",https://pl.wikipedia.org/wiki/Karetta,ukanda,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Loggerhead_sea_turtle.jpg
22,pterois_miles,Skrzydlica,Pterois miles,Ryby,Rzadkość,do 35 cm,"Przy skałach i wrakach, coraz częściej płytko",Piękny inwazyjny przybysz z Morza Czerwonego: biało-brązowe pasy i wachlarz długich kolców jak pióra. Zwykle wisi nieruchomo przy skale i nie ucieka.,"Kolce są mocno jadowite. Podziwiaj z odległości, nigdy nie próbuj dotykać ani odganiać.",https://en.wikipedia.org/wiki/Pterois_miles,Paolo Gamba,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Going_away_(51510843964).jpg
23,lagocephalus_sceleratus,Rozdymka srebrzysta,Lagocephalus sceleratus,Ryby,Rzadkość,do 110 cm,"Płytkie zatoki i porty, 1-20 m","Srebrzysta ryba z wielkimi oczami, zębami jak dłuto i czarnymi kropkami na grzbiecie. Gatunek inwazyjny, silnie trujący - w Grecji nie wolno go łowić ani jeść.","Ma potężne zęby i bardzo silną truciznę w mięsie. Nie zbliżaj się, nie dotykaj, nie jedz.",https://en.wikipedia.org/wiki/Lagocephalus_sceleratus,Martin,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Lagocephalus_sceleratus.jpg
24,siganus_luridus,Królik morski,Siganus luridus,Ryby,Częsta,do 27 cm,"Skały porośnięte glonami, 1-10 m","Owalna, oliwkowo-szara ryba z małym pyszczkiem jak u królika, skubiąca glony ze skał. Przypłynęła z Morza Czerwonego i dziś jest na Krecie pospolita.",Kolce w płetwach są jadowite - nie łap i nie wyjmuj z wody.,https://en.wikipedia.org/wiki/Dusky_spinefoot,Roberto Pillon,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Siganus_luridus_Karpathos_02.jpg
25,trachinus_draco,Ostrosz drakon,Trachinus draco,Ryby,Rzadkość,do 40 cm,"Zakopany w piasku, od płycizn po 100 m","Prawie niewidoczny: leży zagrzebany w piasku z wystającymi oczami i czeka na zdobycz. Najgroźniejsza ryba płycizn Krety właśnie dlatego, że się jej nie widzi.",Jad w kolcach grzbietowych daje bardzo bolesne ukłucie. Nie brodź boso po piasku - noś buty do wody.,https://pl.wikipedia.org/wiki/Ostrosz_%28ryba%29,Tomasz Sienicki,CC BY 1.0,https://commons.wikimedia.org/wiki/File:Trachinus_draco_2.jpeg
26,pelagia_noctiluca,Meduza plamista,Pelagia noctiluca,Bezkręgowce,Rzadkość,kapelusz do 10 cm,"Otwarta woda, sezonowo przy brzegu","Różowo-fioletowa meduza w ciemne kropki, z długimi nitkami parzydełek. Nocą potrafi świecić. Pojawia się falami - albo nie ma żadnej, albo cała ławica.","Parzy mocno, także oderwane fragmenty nitek. Gdy widzisz jedną, wyjdź z wody - zwykle jest ich więcej.",https://pl.wikipedia.org/wiki/Meduza_%C5%9Bwiec%C4%85ca,Hans Hillewaert,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Pelagia_noctiluca_(Sardinia).jpg
27,hippocampus_hippocampus,Konik morski,Hippocampus hippocampus,Ryby,Rzadkość,do 15 cm,"Trawa morska i osłonięte zatoki, 1-20 m","Trzyma się ogonkiem trawy lub gałązki i kołysze razem z nią, dlatego tak trudno go wypatrzyć. Szukaj wolno, tuż nad łąką trawy morskiej - to największy skarb listy.",Nie dotykaj i nie świeć latarką prosto w oczy - konik bardzo łatwo się stresuje.,https://en.wikipedia.org/wiki/Short-snouted_seahorse,Hans Hillewaert,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Hippocampus_hippocampus_(on_Ascophyllum_nodosum).jpg
28,atherina_boyeri,Aterynka,Atherina boyeri,Ryby,Pewniak,do 15 cm,"Gęste ławice tuż pod powierzchnią, 0-3 m","Cieniutkie, przezroczysto-srebrne rybki z jednym błyszczącym paskiem wzdłuż boku, sunące setkami tuż pod lustrem wody. Ławica skręca całą chmurą naraz, jakby była jednym zwierzęciem.",,https://pl.wikipedia.org/wiki/Ateryna_Boyera,Roberto Pillon,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Atherina_boyeri_Sardinia.jpg
29,belone_belone,Belona,Belone belone,Ryby,Częsta,do 90 cm,"Tuż pod powierzchnią, w otwartej wodzie","Długa jak ołówek, cienka srebrna ryba z dziobem pełnym igiełkowatych zębów, płynąca tuż pod taflą. Jej ości są zielone - to nie trucizna, tylko barwnik.",,https://pl.wikipedia.org/wiki/Belona,Sarah Faulwetter,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Garfish,_Peloponnese,_Peloponnese,_Western_Greece_and_the_Ionian_Islands,_GR_imported_from_iNaturalist_photo_222165464.jpg"
30,boops_boops,Bops,Boops boops,Ryby,Pewniak,do 30 cm,"Ławice nad piaskiem i przy pomostach, 1-15 m","Smukła srebrna ryba z wielkimi oczami i złotawym paskiem, pływająca w wielkich, luźnych ławicach. Bardzo ciekawska - podpływa pod maskę, gdy stoisz spokojnie.",,https://pl.wikipedia.org/wiki/Bops,Roberto Pillon,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Boops_boops_Karpathos_01.JPG
31,spicara_smaris,Smaruch,Spicara smaris,Ryby,Częsta,do 20 cm,"Ławice nad trawą morską i piaskiem, 5-30 m","Wąska, szaro-srebrna rybka z ciemną prostokątną plamką na boku, trzymająca się w chmarze nad dnem. Samce w sezonie godowym mienią się niebiesko.",,https://pl.wikipedia.org/wiki/Pyso%C5%84_smuk%C5%82y,Etrusko25,Public domain,https://commons.wikimedia.org/wiki/File:Spicara_smaris_2.jpg
32,syngnathus_typhle,Iglicznia szerokopyska,Syngnathus typhle,Ryby,Rzadkość,do 35 cm,"Pionowo wśród trawy morskiej, 1-10 m","Ryba przebrana za źdźbło trawy: cienka jak patyk, zielonobrązowa, stoi pionowo i kołysze się razem z łąką. To bliski krewny konika morskiego - to samiec nosi jaja w torbie na brzuchu.",,https://pl.wikipedia.org/wiki/Iglicznia_%28ryba%29,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Aguja_mula_(Syngnathus_typhle),_Xwejni_Bay,_Gozo,_Malta,_2021-08-23,_DD_44.jpg"
33,nerophis_ophidion,Wężynka,Nerophis ophidion,Ryby,Rzadkość,do 30 cm,"Wśród trawy morskiej i glonów, 1-5 m","Jeszcze cieńsza niż iglicznia, bez płetw na ogonie, wygląda jak zielona nitka albo źdźbło, które samo odpłynęło. Trzeba patrzeć naprawdę uważnie, żeby odróżnić ją od trawy.",,https://pl.wikipedia.org/wiki/W%C4%99%C5%BCynka,Yuriy Kvach,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:BlackSeaNerophis-head.jpg
34,parablennius_sanguinolentus,Ślizg,Parablennius sanguinolentus,Ryby,Pewniak,do 20 cm,"Na skałach w strefie fal, 0-3 m","Przysadzista rybka z wypukłymi oczami i frędzelkami nad nimi, siedząca na skale jak żabka i podskakująca z kamienia na kamień. Wygląda, jakby ciągle się na coś gapiła.",,https://en.wikipedia.org/wiki/Rusty_blenny,Etrusko25,Public domain,https://commons.wikimedia.org/wiki/File:Parablennius_sanguinolentus_30-07-07.jpg
35,tripterygion_delaisi,Trójpłetwiec żółty,Tripterygion delaisi,Ryby,Częsta,do 8 cm,"Pionowe ścianki skalne i sklepienia jaskiń, 3-20 m","Maleńka rybka z jaskrawożółtym ciałem i czarną głową u samca, przyklejona bokiem albo brzuchem do góry do ściany skalnej. Wielkości palca, ale nie da się jej przeoczyć.",,https://en.wikipedia.org/wiki/Black-faced_blenny,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Moma_amarilla_(Tripterygion_delaisi),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2022-07-20,_DD_29.jpg"
36,gobius_bucchichi,Babka,Gobius bucchichi,Ryby,Częsta,do 10 cm,"Na dnie przy kamieniach i ukwiałach, 1-10 m","Piaskowa rybka w brązowe kropki, siedząca nieruchomo na dnie na płetwach jak na łapkach. Zrywa się na krótki skok i znowu przysiada kawałek dalej.",,https://pl.wikipedia.org/wiki/Babka_ukwia%C5%82owa,Etrusko25,Public domain,https://commons.wikimedia.org/wiki/File:2_-_Gobius_bucchichi_DSCF0003.jpg
37,diplodus_annularis,Sargus roczniak,Diplodus annularis,Ryby,Pewniak,do 20 cm,"Nad trawą morską i w portach, 1-15 m","Najmniejszy z sargusów: srebrno-złoty, z jedną czarną obrożą tuż przed ogonem i żółtymi płetwami brzusznymi. Kręci się stadkami nad łąkami trawy morskiej.",,https://pl.wikipedia.org/wiki/Pra%C5%BCma,Roberto Pillon,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Diplodus_annularis_Minorca.jpg
38,serranus_cabrilla,Strzępiel kanaryjski,Serranus cabrilla,Ryby,Częsta,do 25 cm,"Nad kamienistym dnem i trawą, 5-50 m","Brązowo-pomarańczowa ryba w siedem ciemnych pionowych pręg i dwa jasne pasy wzdłuż boku. Stoi w wodzie nieruchomo i obserwuje, zanim odpłynie o metr dalej.",,https://en.wikipedia.org/wiki/Comber_(fish),Martijn Klijnstra,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Serranus_cabrilla;_Comber_2_(cropped).jpg
39,cladocora_caespitosa,Madrepora gałązkowa,Cladocora caespitosa,Koralowce,Częsta,kępy do 50 cm,"Na skałach i kamieniach, 3-30 m","Jedyny koral Morza Śródziemnego, który buduje prawdziwe rafy: zbite kępy brązowo-zielonych rurek, każda z maleńkim kwiatkiem czułków na szczycie. Rośnie kilka milimetrów rocznie.","Kolonia rośnie latami, a łamie się w sekundę. Nie stawaj na niej i nie odłamuj gałązek - gatunek jest zagrożony.",https://en.wikipedia.org/wiki/Cladocora_caespitosa,Esculapio,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Capo_Gallo_063_Cladocora_caespitosa.jpg
40,balanophyllia_europaea,Balanofilia,Balanophyllia europaea,Koralowce,Częsta,do 3 cm,"Pojedynczo na oświetlonych skałach, 1-20 m","Samotny koralowiec wielkości kciuka, wyglądający jak pomarańczowo-żółty kubeczek z wianuszkiem przezroczystych czułków. Żyje w symbiozie z glonami, więc lubi jasne miejsca.",,https://en.wikipedia.org/wiki/Balanophyllia_europaea,Géry PARENT,Public domain,"https://commons.wikimedia.org/wiki/File:Balanophyllia_europaea_(Risso,_1826).jpg"
41,parazoanthus_axinellae,Parazoantus żółty,Parazoanthus axinellae,Koralowce,Częsta,polipy do 2 cm,"Zacienione skały i sklepienia, 5-40 m","Dywan jaskrawożółtych polipów jak małe stokrotki, obrastający ciemne ściany i sklepienia. W cieniu świeci tak mocno, że wygląda na sztuczny.",,https://en.wikipedia.org/wiki/Parazoanthus_axinellae,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:An%C3%A9mona_incrustante_amarilla_(Parazoanthus_axinellae),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2022-07-20,_DD_49.jpg"
42,eunicella_cavolini,Gorgonia żółta,Eunicella cavolini,Koralowce,Rzadkość,do 50 cm,"Ściany skalne w prądzie, 15-100 m","Żółty wachlarz z rozgałęzionych witek, ustawiony w poprzek prądu, żeby łapać plankton. Kolonia rośnie około centymetra na rok.","Witki łamią się od samego dotknięcia i już nie odrosną. Oglądaj, trzymając ręce przy sobie.",https://en.wikipedia.org/wiki/Eunicella_cavolini,albert kok,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Eunicella.jpg
43,corallium_rubrum,Koral czerwony,Corallium rubrum,Koralowce,Rzadkość,do 30 cm,"Sklepienia jaskiń i ciemne nawisy, od 10 m w dół","Krwistoczerwone gałązki z białymi polipami, rosnące do góry nogami pod sklepieniem jaskini. Ten sam koral, z którego od tysięcy lat robi się biżuterię - dlatego prawie go już nie ma.",Gatunek chroniony - zbieranie jest przestępstwem. Nawet dotknięcie zdziera warstwę żywych polipów.,https://pl.wikipedia.org/wiki/Koral_szlachetny,Géry PARENT,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Corallium_rubrum_(Linnaeus,_1758)_11.jpg"
44,anemonia_viridis,Ukwiał sargassowy,Anemonia viridis,Koralowce,Pewniak,do 20 cm,"Na oświetlonych skałach tuż pod powierzchnią, 0-5 m","Kępa falujących zielonych macek z fioletowymi końcówkami, wyglądająca jak trawa, która się rusza. Nigdy się nie chowa, więc widać ją na każdej skalistej płyciźnie.","Macki parzą. Dla większości ludzi to tylko szczypanie, ale na cienkiej skórze i na twarzy potrafi zostawić czerwone ślady - nie dotykaj.",https://en.wikipedia.org/wiki/Snakelocks_anemone,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:An%C3%A9mona_de_mar_com%C3%BAn_(Anemonia_viridis),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2020-07-21,_DD_07.jpg"
45,actinia_equina,Ukwiał koński,Actinia equina,Koralowce,Częsta,do 7 cm,"Skały w strefie przypływu, 0-2 m","Wystawiony z wody wygląda jak czerwona galaretowata kropla przyklejona do skały, a pod wodą rozwija wianuszek krótkich czułków. Najłatwiej znaleźć go w szczelinach przy samym brzegu.","Parzy słabo, ale lepiej nie sprawdzać - i nie odrywaj go od skały, bo tego nie przeżyje.",https://pl.wikipedia.org/wiki/Ukwia%C5%82_ko%C5%84ski,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Tomate_de_mar_(Actinia_equina),_Set%C3%BAbal,_Portugal,_2020-08-01,_DD_11.jpg"
46,sabella_spallanzanii,Spirograf,Sabella spallanzanii,Bezkręgowce,Częsta,korona do 10 cm,"Piaszczyste dno i pale pomostów, 1-30 m","Wcale nie roślina, tylko robak mieszkający w skórzastej rurce: na zewnątrz wystawia spiralną koronę piór w paski, którą łapie plankton. Gdy przepłyniesz za blisko, znika w rurce w mgnieniu oka.",,https://en.wikipedia.org/wiki/Sabella_spallanzanii,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Espir%C3%B3grafo_(Sabella_spallanzanii),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2020-07-23,_DD_70.jpg"
47,pinna_nobilis,Przyszynka szlachetna,Pinna nobilis,Bezkręgowce,Rzadkość,do 120 cm,"Wbita pionowo w piasek wśród trawy morskiej, 1-30 m","Największa małża Morza Śródziemnego: trójkątna muszla wielkości człowieka, wbita ostrym końcem w dno. Od 2016 roku niemal wyginęła przez pasożyta, więc żywa sztuka to prawdziwa sensacja.","Gatunek krytycznie zagrożony i ściśle chroniony. Nie dotykaj, nie stawaj obok i nie zabieraj muszli - także pustych.",https://pl.wikipedia.org/wiki/Przyszynka_szlachetna,Hectonichus,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Pinnidae_-_Pinna_nobilis.jpg
48,cotylorhiza_tuberculata,Meduza jajecznica,Cotylorhiza tuberculata,Bezkręgowce,Częsta,kapelusz do 35 cm,"Spokojne zatoki późnym latem, 0-10 m","Wygląda dokładnie jak sadzone jajko: żółto-pomarańczowy garb na białym kapeluszu, a pod spodem pęk maczugowatych ramion z fioletowymi guzikami. Pod nią często chowają się młode ryby.",Praktycznie nie parzy - z meduz Krety ta jest najłagodniejsza. Mimo to nie łap jej rękami i nie trzyj potem oczu.,https://en.wikipedia.org/wiki/Cotylorhiza_tuberculata,Antonio Sontuoso,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Cassiopea_Jellyfish_(Cotylorhiza_tuberculata)_-_Mar_Jonio,_Italy.jpg"
