numer_miejsca,nazwa,nazwa_angielska,adres,typ,wspolrzedne,czas_dojazdu,orientacyjny_czas,koszt,godziny_otwarcia,konieczna_akcja,trudnosc_adhd,ochrona_slonce,potencjal_meltdownu,strategie_meltdown,opis,zadania_dla_dzieci,odwiedzone
11,Pałac Minojski w Fajstos,Minoan Palace of Phaistos,"Minoan Palace of Phaistos, Phaistos 702 00",Nice to have,"35.05139, 24.81417",2 godz. 30 min,1 - 1.5 godziny,"30 EUR (dorośli: 2x15 EUR, dzieci 5 i 7 lat: bezpłatnie)",8:00 - 19:30 (10-15.09) / 8:00 - 19:00 (16-24.09),Brak (kameralne i zazwyczaj niezatłoczone stanowisko archeologiczne).,"Średnie - Mniej zatłoczone niż Knossos, co redukuje przemęczenie hałasem i nadmiarem wrażeń społeczne. Jednak nadal jest to otwarty, gorący teren z ruinami bez cienia. Wskazówki: Zaplanuj wizytę późnym popołudniem, zabierz dużo wody, zamień zwiedzanie w aktywną grę terenową.",Pełne słońce. Wzgórze ze stanowiskiem archeologicznym jest całkowicie odsłonięte i nasłonecznione. Brak cienia.,Wysoki - Dzieci: Ponad 2.5 godziny w samochodzie w jedną stronę to ogromne obciążenie ruchowe. Chodzenie w pełnym słońcu po ruinach bez cienia potęguje zmęczenie fizyczne. Rodzice: Skrajne zmęczenie wielogodzinną jazdą i presja kosztów (30 EUR) przy jednoczesnym braku cienia drastycznie obniżają zasoby cierpliwości rodziców.,"Podobnie jak w Knossos – dzieci wchodzą bezpłatnie, więc nie ma presji czasu ani straty finansowej przy nagłym wyjściu. Wybierzcie wizytę późnym popołudniem (np. o 17:30-18:00), gdy słońce jest nisko, a tłumy zniknęły. Zamieńcie ruiny w labirynt poszukiwaczy skarbów.","Drugi co do wielkości pałac minojski na Krecie, położony na wzgórzu z niesamowitym widokiem na równinę Messara, znany z odkrycia słynnego i wciąż nieodszyfrowanego Dysku z Fajstos.","1. Porównaj te ruiny z Knossos i znajdź 3 różnice (podpowiedź: brak kolorowych kolumn!). 2. Spójrz na olbrzymią równinę Messara i spróbuj dostrzec góry w oddali. 3. Policz szerokie, kamienne stopnie prowadzące do dawnego wejścia do pałacu.",0
12,Ntounias,Ntounias Traditional Gastronomy Center,"Drakona, Chania 730 02",Nice to have,"35.40348, 23.95383",55 min,2 - 3 godziny (powolna biesiada),0 EUR wstęp (kultowy obiad slow-food z pieca glinianego ok. 55-65 EUR dla rodziny 2+2),12:00 - 21:00,"W sezonie letnim rekomendowana wcześniejsza rezerwacja stolika, zwłaszcza na obiad lub kolację w weekendy.","Średnie - Tawerna na odludziu z wolnym tempem serwowania potraw (wszystko wolno gotowane). Długie czekanie na jedzenie może wywołać niepokój u dziecka z ADHD. Wskazówki: Przed posiłkiem pozwól dzieciom wybiegać się w otoczeniu tawerny i obejrzeć kozy/góry, zabierz ze sobą kolorowanki lub gry podróżne na czas oczekiwania na dania.","Półcień / Cień. Stoliki tawerny usytuowane są pod rozłożystymi drzewami, dającymi naturalną ochronę i głęboki cień.","Średni do Wysoki - Dzieci: Dojazd (1h) jest umiarkowany, a otoczenie natury i zwierząt na farmie sprzyja wyciszeniu. Jednak bardzo długi czas oczekiwania na wolno gotowane potrawy może doprowadzić do głodowego meltdownu u dziecka z ADHD. Rodzice: Brak presji kosztu wstępu, ale zmęczenie zarządzaniem niecierpliwymi dziećmi przy stoliku w oczekiwaniu na jedzenie może być wyzwaniem.","Z powodu bardzo długiego czasu oczekiwania na wolno gotowane potrawy, koniecznie podajcie dzieciom małe przekąski i napój zaraz po przyjeździe na miejsce, by uniknąć meltdownu głodowego. Przed posiłkiem pozwólcie im swobodnie biegać wokół tawerny i oglądać kozy górskie.","Słynna ekologiczna tawerna i gospodarstwo w Drakonie, gdzie wszystkie potrawy przygotowywane są z miłością w glinianych garnkach na tradycyjnych piecach opalanych drewnem z własnych składników.","1. Wypatrz wielkie glinianych garnki stojące na tradycyjnych piecach opalanych drewnem. 2. Znajdź kozę lub osiołka pasącego się w pobliżu tawerny. 3. Podczas czekania na jedzenie, narysuj w swoim notesie to, co widzisz wokół (góry, ogniska).",0
13,Sarakina Meskla Gorge,Sarakina Meskla Gorge,"Meskla, Chania 730 05",Nice to have,"35.40325, 23.95758",55 min,1 godzina (pętla),0 EUR (wstęp wolny do wąwozu),brak ograniczeń,Brak.,"Łatwe - Krótki, spektakularny wąwóz. Chodzenie po kładkach i formacjach skalnych jest niesamowicie angażujące i ekscytujące fizycznie, a trasa jest na tyle krótka, że dziecko nie zdąży się znudzić.","Cień / Półcień. Wąskie dno wąwozu Meskla ze stromymi, bliskimi siebie skałami zapewnia stały, przyjemny cień przez większość dnia.","Niski - Dzieci: Krótka, niezwykle ekscytująca trasa po drewnianych kładkach i mostkach (ok. 1h) działa jak fascynujący plac zabaw i nie pozwala na nudę. Naturalny cień i chłód zapobiegają przegrzaniu. Rodzice: Brak opłat (0 EUR), krótki dojazd (55 min) i wysoka atrakcyjność wizualna dają 100% radości przy zerowym stresie.",Fizyczna wspinaczka po bezpiecznych kładkach i formacjach skalnych jest niesamowicie angażująca i działa jako świetny sposób na wyładowanie energii dla dzieci z ADHD. Krótki czas pętli zapobiega znużeniu. Po spacerze odpocznijcie w zacienionej tawernie Halaris przy wejściu.,"Krótki, spektakularny i niezwykle zielony wąwóz pod Mesklą, który dzięki wilgoci, bujnej roślinności, wiszącym skałom i kładkom przypomina krajobrazy zielonej Madery.","1. Przejdź bezpiecznie po drewnianych kładkach, starając się nie dotknąć ziemi (gra 'podłoga to lawa'). 2. Dotknij chłodnych, gładkich ścian wąwozu i opisz, jak się czujesz. 3. Znajdź miejsce, gdzie ściany wąwozu są tak blisko siebie, że możesz dotknąć obu rąk naraz.",0
14,Forteca Spinalonga,Spinalonga Fortress,"Spinalonga, Elounda 720 53",Nice to have,"35.29744, 25.73808",3 godz. 15 min,1.5 - 2.5 godziny,"40 EUR (wejście dorośli: 2x20 EUR, dzieci bezpłatnie) + rejs łódką ok. 30 EUR (2x10 EUR dorośli, 2x5 EUR dzieci)",8:30 - 18:00 (codziennie),"Brak (rekomendowany zakup biletów online w sezonie, by pominąć kolejkę po przybyciu na wyspę).","Trudne - Wyspa-forteca z dramatyczną historią. Wymaga rejsu statkiem, chodzenia po kamiennych ścieżkach w pełnym słońcu bez cienia i trzymania się grupy/ścieżki. Wskazówki: Zwiedzaj rano lub późnym popołudniem, zabierz parasol przeciwsłoneczny chroniący przed słońcem, zamień zwiedzanie w misję odkrywców (np. rysowanie mapy wyspy w notesie).",Pełne słońce. Skalista wysepka z fortecą jest całkowicie pozbawiona drzew i cienia. Bardzo silne nasłonecznienie.,"Ekstremalny - Dzieci: Ponad 3 godziny w aucie, potem przesiadka na łódkę i zwiedzanie skalistej wyspy w pełnym słońcu bez cienia i bez opcji natychmiastowej ewakuacji to ekstremalny test sensoryczny. Rodzice: Wycieńczenie jazdą, wysoki koszt łączny (ok. 70 EUR dla rodziny) oraz uwięzienie na wyspie przy braku cienia to gotowy przepis na meltdown całej rodziny.",Ekstremalny test sensoryczny. Słuchawki wygłuszające na łódkę (hałas silnika). Używajcie parasola słonecznego jako mobilnego cienia podczas spaceru po wyspie. Nie trzymajcie się grup turystycznych. W razie buntu zróbcie przerwę w ustronnym miejscu lub skróćcie rejs i wróćcie do bazy Plaka.,"Skalista wysepka z potężną wenecką fortecą obronną, która w latach 1903–1957 służyła jako ostatnia aktywna kolonia trędowatych w Europie, kryjąca niezwykłe ludzkie historie.","1. Wejdź na wyspę przez ciemny tunel wejściowy (Dante's Gate) i wyobraź sobie, że wkraczasz do tajemnego zamku. 2. Odszukaj mały, opuszczony domek z kolorowymi okiennicami. 3. Policz, ile armat lub otworów strzelniczych w murach obronnych uda Ci się wypatrzyć.",0
15,Starożytne Lato,Ancient Lato,"Ancient Lato, Kritsa 721 00",Nice to have,"35.17889, 25.65583",2 godz. 30 min,1 - 1.5 godziny,"10 EUR (dorośli: 2x5 EUR, dzieci 5 i 7 lat: bezpłatnie)",8:30 - 15:30 (wtorki zamknięte),"Brak (bilety kupuje się na miejscu bez kolejki, nie ma potrzeby wcześniejszej rezerwacji).","Trudne - Stanowisko położone na stromym wzgórzu z dużą liczbą schodów i nierównym terenem skalnym. Pełne słońce i wysoka temperatura mogą szybko zmęczyć dzieci. Wskazówki: Zamień wspinaczkę w misję odkrywców, rób częste przerwy na picie wody, załóż dzieciom stabilne buty sportowe, unikaj zwiedzania w godzinach południowych.","Pełne słońce. Brak naturalnego cienia na terenie ruin miasta. Konieczne nakrycie głowy, krem z filtrem UV oraz zapas wody.",Wysoki - Dzieci: Bardzo długi dojazd (2.5 h) połączony ze stromym podejściem pod górę w pełnym słońcu bez cienia może wywołać szybki bunt i meltdown fizyczny. Rodzice: Zmęczenie za kółkiem oraz brak zaplecza gastronomicznego na miejscu zwiększają niepokój logistyczny przy relatywnie niskim koszcie (10 EUR).,"Kameralne, puste ruiny pozwalają na swobodne bieganie. Załóżcie dzieciom stabilne, sportowe buty na strome, skalne ścieżki. W razie dysregulacji spowodowanej upałem, zrezygnujcie z wchodzenia na najwyższy punkt i przejdźcie do tradycyjnej tawerny w zacienionej wiosce Kritsa obok.","Jedno z najlepiej zachowanych miast-państw z okresu klasycznego i hellenistycznego w Grecji, malowniczo położone na wzgórzu z widokiem na Zatokę Mirabello. Zachowały się tu ruiny agory, świątyń, teatru oraz prytanejonu.","1. Policz, ile stopni prowadzi na szczyt starożytnej agory (rynku). 2. Znajdź wielki, wykuty w skale zbiornik (cysternę) na deszczówkę i spróbuj usłyszeć w nim swoje echo. 3. Odszukaj ruiny prytanejonu (starożytnego ratusza) i wyobraź sobie, gdzie płonął wieczny ogień.",0
18,Kisamos,Kissamos,Kissamos 734 00,Other,"35.49528, 23.65472",1 godz.,1 - 3 godziny,0 EUR wstęp (kawa/lody na promenadzie ok. 10-15 EUR dla rodziny),brak ograniczeń,Brak.,"Łatwe - Miasteczko portowe z otwartą przestrzenią, łatwy dostęp do jedzenia i lodów, brak barier architektonicznych i swobodna atmosfera.","Pełne słońce / Półcień. Otwarta przestrzeń miasteczka i portu, ale kawiarnie i tawerny oferują zacienione tarasy i markizy.","Niski - Dzieci: Łatwy dojazd (1h) drogą szybkiego ruchu. Swobodne miasteczko, łatwy dostęp do lodów i brak rygorystycznych zasad sprzyjają swobodnemu zachowaniu. Rodzice: Brak kosztów (0 EUR) i pełna elastyczność czasowa pozwalają na bezstresowe spędzenie czasu.",Swobodna wizyta bez barier architektonicznych i presji czasu. W razie zmęczenia lub głodu natychmiast usiądźcie w klimatyzowanej kawiarni przy porcie na lody. Pozwólcie dzieciom spacerować brzegiem portu pod Waszą opieką.,"Klimatyczne miasteczko portowe na zachodzie Krety, będące główną bazą wypadową dla rejsów na Balos, oferujące tawerny rybne, kawiarnie i tradycyjną atmosferę siga-siga.","1. Spacerując promenadą, znajdź statek cumujący w porcie i zgadnij, dokąd płynie. 2. Kup tradycyjny kreteński lód i spróbuj nazwać jego smak. 3. Znajdź rzeźbę lub kotwicę morską przy porcie.",0
19,Jaskinia Zeusa,Cave of Zeus,"Cave of Zeus, Psychro 720 52",Other,"35.16301, 25.49811",3 godz. 20 min,1 - 1.5 godziny,"12 EUR (dorośli: 2x6 EUR, dzieci 5 i 7 lat: bezpłatnie) + parking ok. 2-3 EUR",8:00 - 18:00 (sezon letni),Brak (bilety kupuje się w kasie przy wejściu do jaskini).,"Trudne - Bardzo strome podejście pod górę (20-30 min), wewnątrz jaskini jest ciemno, wilgotno, ślisko i obowiązuje ruch jednokierunkowy po wąskich schodach w tłumie (brak możliwości szybkiego wyjścia). Wysokie ryzyko lęku i przemęczenie hałasem i nadmiarem wrażeń. Wskazówki: Przyjdź dokładnie na otwarcie jaskini (8:00), wyposaż dzieci w ich własne małe latarki/czołówki (daje to poczucie kontroli i zamienia wejście w przygodę), uprzedź o nagłej zmianie temperatury i wilgotności.","Cień (Wewnątrz). Całkowity brak słońca, wewnątrz jaskini panuje stały, wręcz orzeźwiający chłód (warto zabrać lekką bluzę).","Ekstremalny - Dzieci: Ponad 3.5 h w aucie, potem bardzo strome podejście pod górę, a wewnątrz ciemność, zimno, wilgoć i ciasny tłum na wąskich schodach – potężne ryzyko ataku paniki lub meltdownu sensorycznego. Rodzice: Ekstremalne wycieńczenie prowadzeniem auta, stres finansowy (12 EUR wstęp, ale długa droga) i lęk o bezpieczeństwo dzieci na śliskich schodach w tłumie gwałtownie wyczerpują zasoby cierpliwości.","Wejdźcie dokładnie na otwarcie (8:30) lub przed falami autokarów. Wyposażcie dzieci w ich własne, małe latarki czołówki – posiadanie własnego światła daje dziecku AuDHD poczucie kontroli i zamienia lęk w ekscytującą misję badawczą. Uprzedźcie o nagłym spadku temperatury.","Legendarna jaskinia Diktejska położona na wysokości 1050 m n.p.m. w dolinie Lasithi, uznawana w mitologii greckiej za mityczne miejsce narodzin najpotężniejszego z bogów – Zeusa.","1. Użyj swojej latarki czołówki, aby oświetlić najciemniejsze zakamarki jaskini (szukaj nietoperzy!). 2. Znajdź stalaktyt (wiszący z góry) i stalagmit (rosnący z dołu), które prawie się łączą. 3. Wrzuć monetę do podziemnego jeziora i wypowiedz w myślach życzenie do króla bogów – Zeusa.",0
21,Agios Antonios,Agios Antonios Gorge,Patsos 740 61,Other,"35.24430, 24.56847",1 godz. 30 min,1 - 2 godziny,0 EUR (wstęp wolny do wąwozu i kapliczki),brak ograniczeń,Brak.,"Średnie - Wąwóz i urocze wejście, ale wymaga uważnego chodzenia po nierównym terenie. Mało bodźców negatywnych, dużo natury.","Cień / Półcień. Wąwóz św. Antoniego (Agios Antonios) jest gęsto zalesiony i osłonięty skałami, co zapewnia zbawienny cień podczas wędrówki.","Średni - Dzieci: Dojazd (1.5 h) wymaga przekąsek w aucie. Piękny, zacieniony wąwóz z jaskinią i kapliczką jest sensorycznie wyciszający, pod warunkiem uważnego chodzenia po kamieniach. Rodzice: Brak kosztów (0 EUR), a urocza tawerna przy wejściu daje poczucie bezpieczeństwa i możliwość zjedzenia spokojnego lunchu w cieniu.","Trasa jest osłonięta i pełna natury, ale wymaga uważnego stąpania po kamieniach. Róbcie przerwy w cieniu skał. Po zwiedzeniu wejdźcie na wyciszający odpoczynek do klimatycznej, tradycyjnej tawerny ukrytej pod platanami tuż przy wejściu do wąwozu.","Gęsto zalesiony, zacieniony wąwóz Patsos z kapliczką św. Antoniego ukrytą bezpośrednio wewnątrz wielkiej groty skalnej oraz orzeźwiającym, czystym górskim potokiem.",1. Odszukaj mały kościółek ukryty bezpośrednio wewnątrz wielkiej groty skalnej. 2. Przepłyń dłonią przez chłodny górski potok płynący dnem wąwozu. 3. Wsłuchaj się w śpiew ptaków w koronach drzew i spróbuj naśladować jednego z nich.,0
22,Wyjście Z Wąwozu Imbros,Exit of Imbros Gorge,Komitades 730 11,Other,"35.20436, 24.16912",1 godz. 30 min,2 - 3 godziny (czas przejścia wąwozu),"6 EUR (dorośli: 2x3 EUR, dzieci pod opieką bezpłatnie)",brak ograniczeń (wąwóz płatny zazwyczaj 8:00 - 16:00),Brak (bilet kupuje się na miejscu; opcjonalnie taksówkę powrotną można uzgodnić na miejscu).,"Średnie - Przejście wąwozu zajmuje 2-3 godziny po luźnych kamieniach. Może być nużące dla dziecka z ADHD i męczące dla 5-latka. Wskazówki: Podziel trasę na małe cele (np. 'dochodzimy do tamtego drzewa i jemy żelka'), urozmaicaj drogę opowieściami lub grami słownymi, zadbaj o stabilne obuwie.","Półcień. Trasa biegnie dnem wąwozu, gdzie wysokie, pionowe ściany skalne oraz drzewa dają okresowy, naturalny cień.","Wysoki - Dzieci: Długa podróż (1.5 h) i 3-godzinny marsz po luźnych, śliskich kamieniach mogą szybko znudzić i fizycznie wyczerpać dzieci, prowadząc do buntu i odmowy dalszej drogi. Rodzice: Niski koszt (6 EUR), ale obawa o kontuzje dzieci i brak możliwości skrócenia szlaku w połowie drogi generują wysoki poziom stresu logistycznego.","Podzielcie 8-kilometrową trasę na malutkie, interaktywne etapy z natychmiastową nagrodą (np. 'dochodzimy do tamtego śmiesznego drzewa i jemy żelka/krakersa'). Urozmaicajcie wędrówkę grami słownymi i historiami. Zapewnijcie wygodne buty i upewnijcie się, że macie wodę.","Komitades – urokliwa wieś u wylotu malowniczego, 8-kilometrowego wąwozu Imbros, będącego łatwiejszą i bardzo przyjazną dla rodzin alternatywą dla wąwozu Samaria.","1. Policz, ile razy ścieżka wąwozu staje się tak wąska, że możesz dotknąć obu skalnych ścian naraz. 2. Znajdź naturalny kamienny łuk skalny (bramę) i przejdź pod nim z podniesionymi rękami. 3. Po wyjściu w Komitades, nagródź się pysznym sokiem i zjedz tradycyjną Sfakiani Pitę.",0
23,Grotte marine de Koutalas,Koutalas Marine Cave,Kokkino Chorio 730 08,Other,"35.45265, 24.23842",55 min,1 - 2 godziny,0 EUR (wstęp wolny do jaskini morskiej),brak ograniczeń,Brak.,"Średnie - Dzika, kamienista zatoczka. Wymaga dużej uważności przy schodzeniu po skałach. Brak jakiejkolwiek infrastruktury i cienia. Wskazówki: Zabierz własny namiot/parasol przeciwsłoneczny, zapas wody i jedzenia, buty do wody.","Pełne słońce / Cień. Sama dzika plaża w zatoce i dojście są nasłonecznione, ale mała jaskinia morska daje schronienie i całkowity cień.","Średni - Dzieci: Dojazd (55 min) jest umiarkowany. Dzika, pusta zatoczka to świetna, cicha przestrzeń, ale strome zejście po skałach i kompletny brak infrastruktury wymagają czujności. Rodzice: Brak kosztów (0 EUR), ale konieczność wcześniejszego spakowania pełnego prowiantu i ciągłego pilnowania dzieci na skałach generują średni poziom napięcia.","Zadbajcie o maksymalną uważność na śliskich skałach przy schodzeniu do wody. Rzucanie kamykami do morza w cichej, ustronnej zatoczce to świetne, powtarzalne ćwiczenie regulujące sensorycznie. Zabierzcie własny mały namiot plażowy i pełen prowiant.","Dzika, kamienista zatoczka i jaskinia morska na półwyspie Apokoronas, oferująca nieskażoną przyrodę, krystaliczną wodę idealną do snorkelingu i całkowity spokój z dala od tłumów.","1. Wypatruj ukrytych wejść do jaskiń morskich tuż przy brzegu. 2. Znajdź najbardziej kolorowy kamyczek na dzikiej plaży. 3. Posłuchaj, jak fali uderzają o skały wewnątrz jaskini (porównaj to z dźwiękiem muszli przy uchu).",0
24,Acropolis of Polirrinia,Acropolis of Polirrinia,Polyrrinia 734 00,Other,"35.45722, 23.68417",1 godz. 10 min,1.5 - 2 godziny,0 EUR (wstęp wolny na akropol),brak ograniczeń,Brak.,"Średnie - Spokojne ruiny na wzgórzu, brak tłumów. Wymaga krótkiego podejścia pod górę, ale na szczycie jest bezpieczna przestrzeń do biegania.","Pełne słońce. Ruiny akropolu znajdują się na odsłoniętym wzgórzu z pięknym widokiem, bez żadnej ochrony przed słońcem.","Średni - Dzieci: Dojazd (1h 10 min) jest umiarkowany. Ruiny na wzgórzu są puste i ciche (mało bodźców), ale strome podejście w słońcu może zmęczyć. Rodzice: Brak kosztów (0 EUR) i brak tłumów sprzyjają relaksowi, choć brak barierek ochronnych na szczycie wymaga stałej uwagi rodziców.",Niski poziom tłumów redukuje stres społeczny. Pozwólcie dzieciom na swobodne wchodzenie na wzgórze w ich własnym tempie. Zaplanujcie piknik sensoryczny na szczycie w cieniu starożytnych murów obronnych z pięknym widokiem na zatokę.,"Starożytny akropol położony na malowniczym wzgórzu nad wioską Polirrinia, oferujący rzymskie grobowce wykute w skałach i spektakularną panoramę na zatokę Kissamos.",1. Wspinaj się na wzgórze jak starożytny strażnik i wypatruj mitycznych wrogów na horyzoncie. 2. Znajdź rzymskie grobowce wykute bezpośrednio w skale. 3. Dotrzyj do samego szczytu z flagą i zrób tam zwycięski okrzyk.,0
25,Muzeum i Stanowisko Eleutherna,Eleutherna Archaeological Museum,"Archeologiki Site Eleftherna, Eleftherna 740 52",Other,"35.32417, 24.67667",1 godz. 30 min,1 - 2 godziny,"20 EUR (dorośli: 2x10 EUR, dzieci bezpłatnie)",10:00 - 18:00 (wtorki zamknięte),Brak.,"Trudne - Kolejne tradycyjne muzeum wymagające spokoju i ciszy, oddalone od głównych tras. Wskazówki: Zaplanuj bardzo krótką wizytę (do 30 min), skup się tylko na najciekawszych eksponatach (np. biżuterii, dawnej broni).","Cień (Wewnątrz). Nowoczesny, klimatyzowany budynek muzeum zapewnia doskonałą ochronę przed słońcem.","Wysoki - Dzieci: Dojazd (1.5 h) buduje napięcie. Tradycyjna, zamknięta i cicha przestrzeń muzealna z zakazem dotykania obiektów szybko frustruje ruchliwe dzieci. Rodzice: Zmęczenie trasą i presja kosztów (20 EUR) w połączeniu ze społecznym naciskiem na zachowanie ciszy w muzeum drastycznie podnoszą poziom stresu.","Ograniczcie wizytę w nowoczesnym, cichym muzeum do 20-30 minut. Użyjcie słuchawek wygłuszających, aby wyeliminować irytujący pogłos (echo). Po wizycie pojedźcie do pobliskiej wioski Margarites, gdzie dzieci mogą biegać i obserwować gliniane warsztaty garncarskie.","Nowoczesne muzeum archeologiczne, będące pierwszym muzeum na stanowisku badawczym na Krecie, prezentujące sekrety antycznego miasta i jego powiązania z eposami Homera.",1. Odszukaj tarczę wojownika z brązu i dotknij jej nowoczesnej kopii stworzonej specjalnie do poznawania dotykiem. 2. Znajdź w gablotach starożytne zabawki dziecięce i porównaj je ze swoimi zabawkami. 3. Spróbuj odnaleźć złote ozdoby w kształcie miniaturowych owadów lub kwiatów.,0
26,Monastyr Agia Triada Tzagaroli,Holy Trinity Tzagaroli Monastery,"Akrotiri, Chania 731 00",Other,"35.56075, 24.13508",15 min,1 - 1.5 godziny,"4 EUR (dorośli: 2x2 EUR, dzieci bezpłatnie)",od wschodu do zachodu słońca,Brak.,"Średnie - Klasztor wymaga wyciszenia, odpowiedniego ubioru i spokojnego zachowania. Jednak piękne ogrody i dziedzińce działają bardzo kojąco sensorycznie. Wskazówki: Przed wejściem wyjaśnij dzieciom zasadę 'mówimy szeptem', zachęć do wąchania kwiatów w ogrodzie.","Półcień / Cień. Przepiękny, zadbany dziedziniec klasztorny oferuje zacienione arkady, a wnętrze zabytkowej cerkwi daje przyjemny chłód i cień.","Średni - Dzieci: Bardzo blisko bazy (15 min). Piękne ogrody z kotami działają kojąco, ale wymóg ciszy i odpowiedniego ubioru w klasztorze ogranicza spontaniczność dziecka z ADHD. Rodzice: Niski koszt (4 EUR), minimalna jazda i bardzo ułatwiona, szybka ewakuacja dają rodzicom duże poczucie kontroli.","Przejażdżka urokliwym klasztorem wymaga wyciszenia, ale tutejsze ogrody i dziedziniec z kotami działają kojąco na dzieci AuDHD. Krótki dojazd (15 min) ułatwia powrót. W razie trudności z zachowaniem ciszy w świątyni, spędźcie czas na zewnątrz na pięknym, zacienionym dziedzińcu.","XVII-wieczny wenecko-byzantyjski monastyr na półwyspie Akrotiri, słynący z zachwycającej architektury, spokojnych dziedzińców ogrodowych oraz produkcji ekologicznego wina i oliwy.",1. Przejdź przez zielony labirynt cyprysów i oliwek w przyklasztornym ogrodzie. 2. Policz wszystkie koty leniwie wygrzewające się na klasztornym dziedzińcu. 3. Znajdź starożytne dzwony zawieszone wysoko na wieży.,0
27,The Little Fun Train - Agioi Apostoloi,The Little Fun Train - Agioi Apostoloi,"Agioi Apostoloi, Chania 731 00",Activity,"35.51178, 23.98189",30 min,1 - 1.5 godziny (czas przejażdżki),"ok. 50-64 EUR (przejażdżka ciuchcią: dorośli ok. 15-20 EUR, dzieci ok. 10-12 EUR)",według rozkładu (zazwyczaj 9:00 - 18:00 w sezonie),"Zalecany zakup biletów online z wyprzedzeniem w sezonie letnim, aby zagwarantować sobie miejsce.","Średnie - Jazda pociągiem turystycznym jest bardzo atrakcyjna i sensorycznie ciekawa (ruch, wiatr, widoki), jednak wymaga dłuższego siedzenia w jednym miejscu (ok. 1-2h) i czekania na odjazd. Wskazówki: Zabierz drobne zabawki sensoryczne (fidgety) do rąk na czas jazdy, uprzedź dziecko o trasie i czasie jej trwania.","Półcień. Wagoniki kolejki turystycznej posiadają zadaszenie chroniące przed słońcem, jednak boki są otwarte.","Średni - Dzieci: Przejażdżka pociągiem jest bardzo atrakcyjna sensorycznie, ale konieczność dłuższego siedzenia w jednym miejscu (ok. 1.5 h) może wywołać niepokój ruchowy u dziecka z ADHD. Rodzice: Dość wysoki koszt (ok. 50-64 EUR) stwarza presję, by dzieci 'dobrze się bawiły' i nie marudziły podczas jazdy.","Jazda pociągiem jest bardzo atrakcyjna i dostarcza dzieciom świetnych bodźców przedsionkowych (ruch, pęd powietrza). Przygotujcie małe zabawki sensoryczne (fidgety) do rąk na czas jazdy. Uprzedźcie dzieci o czasie trwania trasy i trzymajcie pod ręką wodę.","Zadaszona kolejka turystyczna oferująca atrakcyjne i bezstresowe przejażdżki po nadmorskich kurortach (Agia Marina, Platanias) i malowniczych, zielonych wioskach w rejonie Chanii.","1. Pomachaj wszystkim przechodniom, których miniecie podczas jazdy pociągiem (policz, ile osób Ci odmacha!). 2. Słuchaj uważnie dzwonka pociągu i klaśnij w dłonie za każdym razem, gdy zadzwoni. 3. Wypatruj przez okno drzew oliwnych i pomarańczowych – kto pierwszy zobaczy owoc?",0
28,Rejs łodzią półpodwodną,Semi-submarine boat trip,"Akti Tompazi, Stary Port, Chania 731 32",Activity,"35.51862, 24.01633",25 min,15 - 30 min,"ok. 70-80 EUR (rejs 35 min półpodwodną łodzią: dorośli 22-25 EUR, dzieci 12-15 EUR)",9:00 - 22:00,Rekomendowana wcześniejsza rezerwacja rejsu (łódź półpodwodna zabiera maksymalnie 12 osób).,"Średnie - Rejs łodzią półpodwodną. Ciekawe doświadczenie patrzenia przez szyby pod wodą, ale kabina jest mała, zamknięta i klimatyzowana (może wywołać lekki niepokój u dzieci z AuDHD). Wskazówki: Przygotuj dziecko wcześniej pokazując zdjęcia łodzi, w razie niepokoju wyjdźcie na pokład górny na świeże powietrze.","Półcień. Pokład górny łodzi jest nasłoneczniony, natomiast dolna, przeszklona kabina pod poziomem wody jest całkowicie zacieniona i klimatyzowana.","Średni do Wysoki - Dzieci: Krótki dojazd (25 min). Rejs półpodwodną łodzią jest fascynujący, ale ciasna, duszna kabina pod wodą i hałas silnika mogą wywołać meltdown związany z ciasną przestrzenią u dziecka AuDHD. Rodzice: Bardzo wysoki koszt (ok. 66-90 EUR) buduje ogromną presję finansową na udaną wycieczkę.","Ciekawe doświadczenie patrzenia pod wodę, ale mała, przeszklona kabina może wywołać niepokój związany z ciasną przestrzenią u dziecka AuDHD. Pokażcie dzieciom zdjęcia łodzi przed rejsu. W razie narastającego lęku lub hałasu silnika natychmiast wyjdźcie na otwarty pokład górny na świeże powietrze.","Punkt startowy rejsów łodzią półpodwodną Sea Adventures w weneckim porcie w Chanii, pozwalający obserwować dno morza, ryby i żółwie Caretta caretta przez duże szklane okna.","1. Zejdź pod pokład i spójrz przez wielkie okna – wypatruj ogromnych żółwi morskich Caretta caretta. 2. Policz, ile rybek płynie tuż za oknem naszej łodzi podwodnej. 3. Spójrz na Chanię z pokładu i znajdź słynną wenecką latarnię morską.",0
